Exp nb,Date,Start,Stop,visits,recruits,type
1,18.07.23,"0,3819444444","0,4618055556",110,6,1
2,18.07.23,"0,4861111111","0,5659722222",96,14,0
3,19.07.23,"0,4166666667","0,4965277778",219,9,0
4,19.07.23,"0,5069444444","0,5868055556",95,6,0
5,19.07.23,"0,5972222222","0,6770833333",164,0,1
6,20.07.23,"0,3819444444","0,4618055556",180,2,1
7,20.07.23,"0,4722222222","0,5520833333",100,2,0
8,20.07.23,"0,5972222222","0,6770833333",68,0,0
9,21.07.23,"0,3888888889","0,46875",70,1,1
10,21.07.23,"0,5104166667","0,5902777778",72,8,1
11,21.07.23,"0,6145833333","0,6944444444",58,0,1
12,22.07.23,"0,3819444444","0,4618055556",143,15,1
13,22.07.23,"0,4791666667","0,5590277778",124,8,0
14,22.07.23,"0,5798611111","0,6597222222",92,7,1
15,23.07.23,"0,3819444444","0,4618055556",134,22,0
16,23.07.23,"0,4861111111","0,5659722222",111,1,1
17,23.07.23,"0,6041666667","0,6840277778",171,14,0
18,23.07.23,"0,6979166667","0,7777777778",109,1,1
19,24.07.23,"0,3645833333","0,4444444444",94,1,1
20,24.07.23,"0,4861111111","0,5659722222",136,0,0
21,24.07.23,"0,6076388889","0,6875",83,1,0
22,25.07.23,"0,5","0,5798611111",80,0,0
23,25.07.23,"0,6041666667","0,6840277778",121,1,0
24,25.07.23,"0,6979166667","0,7777777778",87,0,0
25,26.07.23,"0,4791666667","0,5590277778",85,0,0
26,26.07.23,"0,5972222222","0,6770833333",88,0,1
27,26.07.23,"0,7013888889","0,7847222222",214,17,0
28,27.07.23,"0,3958333333","0,4756944444",132,8,0
29,27.07.23,"0,4930555556","0,5729166667",66,0,1