date,start_time,stop_time,type,recruits_s,recruits_n,removed_s,removed_n
29.07.23,13:00:00,13:30:00,1,2,2,5,0
29.07.23,13:30:00,14:00:00,3,0,0,5,0
29.07.23,14:00:00,14:30:00,1,0,2,4,0
29.07.23,14:30:00,15:00:00,2,1,3,15,0
29.07.23,15:00:00,15:30:00,1,5,2,22,0
29.07.23,15:30:00,16:00:00,3,0,2,2,0
29.07.23,16:00:00,16:30:00,1,0,2,1,0
29.07.23,16:30:00,17:00:00,2,2,8,3,0
29.07.23,17:00:00,17:30:00,1,11,2,11,0
29.07.23,17:30:00,18:00:00,3,2,1,6,0
29.07.23,18:00:00,18:30:00,1,2,2,21,0
30.07.23,10:00:00,10:30:00,1,3,3,5,6
30.07.23,10:30:00,11:00:00,3,8,2,6,2
30.07.23,11:00:00,11:30:00,1,14,3,7,3
30.07.23,11:30:00,12:00:00,2,3,1,5,0
30.07.23,12:00:00,12:30:00,1,2,0,10,5
30.07.23,12:30:00,13:00:00,3,0,0,4,4
30.07.23,13:00:00,13:30:00,1,1,0,23,0
30.07.23,13:30:00,14:00:00,2,1,3,6,4
30.07.23,14:00:00,14:30:00,1,5,1,11,5
30.07.23,14:30:00,15:00:00,3,3,0,7,2
30.07.23,15:00:00,15:30:00,1,3,2,26,12
30.07.23,15:30:00,16:00:00,2,1,0,15,0
30.07.23,16:00:00,16:30:00,1,2,1,6,2
30.07.23,16:30:00,17:00:00,3,2,2,5,0
30.07.23,17:00:00,17:30:00,1,0,0,4,3
30.07.23,17:30:00,18:00:00,2,0,1,4,0
30.07.23,18:00:00,18:30:00,1,0,0,0,0
31.07.23,10:00:00,10:30:00,2,1,2,5,8
31.07.23,10:30:00,11:00:00,1,10,0,11,5
31.07.23,11:00:00,11:30:00,3,2,0,7,2
31.07.23,11:30:00,12:00:00,1,0,4,4,0
31.07.23,12:00:00,12:30:00,2,0,1,0,0
31.07.23,12:30:00,13:00:00,1,1,1,0,0
31.07.23,13:00:00,13:30:00,3,1,1,0,2
31.07.23,13:30:00,14:00:00,1,1,0,4,2
31.07.23,14:00:00,14:30:00,2,2,0,6,1
31.07.23,14:30:00,15:00:00,1,0,2,3,4
31.07.23,15:00:00,15:30:00,3,0,2,0,0
31.07.23,15:30:00,16:00:00,1,3,6,0,0
31.07.23,16:00:00,16:30:00,2,1,0,0,0
31.07.23,16:30:00,17:00:00,1,4,0,5,0